# {
#     "changing_threshold": 0.2,
#     "command": "/home/wanglab/anaconda3/envs/voila/bin/voila tsv majiq_splicing/build_simplified/splicegraph.sql majiq_splicing/deltapsi_simplified/ctrl_trt.deltapsi.voila --changing-between-group-dpsi 0.1 -f majiq_splicing/voilaOutput_simplified/3vs3_filtedtbl_noProbThreshold.tsv",
#     "group_sizes": {
#         "ctrl": 3,
#         "trt": 3
#     },
#     "non_changing_threshold": 0.05,
#     "voila_version": "2.4.dev3+g85d07819"
# }
gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	ctrl_mean_psi	trt_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
RPAP3	ENSG00000005175.10	ENSG00000005175.10:s:47701191-47701604	0.3817;-0.3817	9.975e-01;9.975e-01	1.309e-09;1.326e-09	0.3349;0.6651	0.7158;0.2842	s|1e1.1o1|1e2.1o2	2	3	0;0	chr12	-	47700164-47701464;47697719-47701464	47697597-47697719;47700015-47700164;47701191-47701604		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A47701604-47697597
IL32	ENSG00000008517.19	ENSG00000008517.19:t:3068118-3068665	0.0536;0.1380;-0.2103	1.510e-20;2.184e-02;6.149e-01	1.170e-03;2.520e-07;0.000e+00	0.0073;0.0483;0.9448	0.0845;0.1827;0.7332	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr16	+	3067415-3068180;3067613-3068180;3068010-3068180	3067377-3067415;3067443-3067613;3067984-3068010;3068118-3068665		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A3068665-3067377
FAM107B	ENSG00000065809.14	ENSG00000065809.14:t:14530332-14530515	0.2857;0.0000;-0.0000;-0.0065;-0.2917	9.181e-01;5.348e-21;5.345e-21;2.922e-05;9.791e-01	8.011e-08;4.622e-01;4.899e-01;5.471e-04;2.257e-12	0.4679;0.0011;0.0011;0.2092;0.3190	0.7630;0.0158;0.0045;0.1969;0.0200	t|1e1.1o1|1e2.1o1|1e3.2o3|1e4.1o1|1e5.1o1	5	6	0;0;0;0;0	chr10	-	14530515-14604240;14530515-14572229;14530515-14571924;14530515-14553322;14530515-14532587	14530332-14530515;14532587-14532710;14553322-14553454;14571763-14572189;14572229-14572339;14604240-14604418		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A14604418-14530332
FGFR3	ENSG00000068078.20	ENSG00000068078.20:t:1804330-1804520	-0.2096;0.2096	5.788e-01;5.788e-01	2.514e-06;2.514e-06	0.5163;0.4837	0.3015;0.6985	t|1e1.1o2|1e2.2o2	2	3	0;0	chr4	+	1803064-1804330;1803836-1804330	1802914-1803152;1803692-1803836;1804330-1804520		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A1804520-1802914
PTPN3	ENSG00000070159.14	ENSG00000070159.14:t:109420424-109420600	-0.3119;0.3119	8.745e-01;8.745e-01	4.909e-06;4.909e-06	0.5736;0.4264	0.2387;0.7613	t|1e1.1o1|1e2.1o1	2	3	0;0	chr9	-	109420600-109426950;109420600-109422718	109420424-109420600;109422718-109422852;109426950-109427122		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A109427122-109420424
ZNF638	ENSG00000075292.19	ENSG00000075292.19:s:71331728-71331875	0.0000;-0.1745;0.0938;0.0002;0.0020;-0.2251;0.2416	5.349e-21;3.557e-01;5.266e-02;5.377e-21;5.693e-21;6.805e-01;7.495e-01	1.137e-01;9.109e-06;3.968e-05;6.551e-02;1.944e-02;4.591e-07;6.289e-07	0.0009;0.4074;0.1696;0.0009;0.0009;0.3081;0.1085	0.0084;0.2140;0.2944;0.0157;0.0308;0.0738;0.3600	s|1e1.1o2|1e1.2o2|1e2.1o1|2e3.1o1|2e4.1o2|2e4.2o2|2e5.1o1	7	6	0;0;0;0;0;0;0	chr2	+	71331865-71348427;71331865-71348753;71331865-71355719;71331875-71332830;71331875-71348427;71331875-71348753;71331875-71355719	71331728-71331875;71332830-71333077;71348427-71350271;71355719-71355780		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A71355780-71331728
ZNF638	ENSG00000075292.19	ENSG00000075292.19:t:71355719-71355780	-0.0003;0.0308;0.2416;-0.3056	5.405e-21;1.070e-02;7.043e-01;9.144e-01	1.284e-02;1.269e-04;5.201e-06;8.792e-07	0.0137;0.3093;0.1998;0.4760	0.0024;0.3795;0.4632;0.1535	t|1e1.1o1|1e2.1o2|1e2.2o2|1e3.6o6	4	4	0;0;0;0	chr2	+	71276754-71355719;71331865-71355719;71331875-71355719;71350271-71355719	71276561-71276754;71331728-71331875;71348427-71350271;71355719-71355780		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A71355780-71276561
SNX5	ENSG00000089006.17	ENSG00000089006.17:s:17968375-17968511	0.0730;0.0000;0.0000;-0.3328;0.2582	3.889e-20;5.544e-21;5.544e-21;9.945e-01;8.926e-01	2.720e-01;1.000e+00;1.000e+00;1.665e-14;1.366e-16	0.0795;0.0147;0.0232;0.7152;0.1692	0.1518;0.0124;0.0230;0.3898;0.4290	s|1e1.1o3|1e1.2o3|1e1.3o3|1e2.1o2|i	5	3	0;1;0;0;0	chr20	-	17968289-17968375;17968166-17968375;17968161-17968375;17957037-17968375;17968290-17968374	17956933-17957037;17967688-17968289;17968375-17968511	17968290-17968374	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr20%3A17968511-17956933
SUPT16H	ENSG00000092201.10	ENSG00000092201.10:s:21383862-21384019	0.3993;-0.3993	1.000e+00;1.000e+00	3.897e-20;0.000e+00	0.1053;0.8947	0.4955;0.5045	s|1e1.1o1|1e2.1o1	2	3	0;0	chr14	-	21383769-21383862;21373430-21383862	21373338-21373430;21382975-21383769;21383862-21384019		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A21384019-21373338
LRRFIP2	ENSG00000093167.18	ENSG00000093167.18:s:37174119-37174605	0.0778;0.1098;0.0001;-0.0000;-0.2262	2.160e-02;2.751e-03;5.390e-21;5.345e-21;6.761e-01	5.157e-05;1.455e-05;2.313e-01;4.817e-01;1.107e-06	0.2895;0.0339;0.0143;0.0013;0.6591	0.3972;0.1494;0.0258;0.0062;0.4231	s|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1	5	5	1;0;0;0;0	chr3	-	37173194-37174539;37173026-37174539;37171066-37174539;37154656-37174539;37149038-37174539	37148894-37149038;37154614-37154656;37170333-37171066;37172770-37173194;37174119-37174605		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A37174605-37148894
PRORP	ENSG00000100890.16	ENSG00000100890.16:t:35122952-35123347	0.2494;0.0000;-0.2485;-0.0237;0.0249	8.022e-01;5.346e-21;7.771e-01;5.519e-07;2.637e-08	1.683e-07;2.859e-01;1.091e-06;3.067e-04;2.182e-03	0.0992;0.0086;0.7835;0.0915;0.0163	0.3587;0.0074;0.5227;0.0501;0.0624	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o3|1e4.2o3	5	5	0;0;0;0;0	chr14	+	35122052-35122952;35122501-35122952;35122635-35122952;35122767-35122952;35122806-35122952	35121846-35122052;35122303-35122501;35122547-35122635;35122677-35122910;35122952-35123347		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A35123347-35121846
PRORP	ENSG00000100890.16	ENSG00000100890.16:t:35126735-35126782	0.2117;-0.2117	5.852e-01;5.852e-01	1.459e-06;1.459e-06	0.2329;0.7671	0.4541;0.5459	t|1e1.3o3|1e2.1o1	2	3	0;0	chr14	+	35122910-35126735;35124231-35126735	35122677-35122910;35123505-35124231;35126735-35126782		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A35126782-35122677
PRORP	ENSG00000100890.16	ENSG00000100890.16:t:35127479-35127611	0.2135;-0.2552;0.0162	5.883e-01;8.433e-01;3.181e-03	3.720e-06;2.054e-08;1.899e-04	0.1798;0.3083;0.5119	0.4152;0.0450;0.5383	t|1e1.3o3|1e2.1o1|1e3.1o1	3	4	0;0;0	chr14	+	35122910-35127479;35124231-35127479;35126782-35127479	35122677-35122910;35123505-35124231;35126735-35126782;35127479-35127611		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A35127611-35122677
PTPRS	ENSG00000105426.18	ENSG00000105426.18:t:5286050-5286388	-0.3286;0.3286	9.216e-01;9.216e-01	2.207e-06;2.207e-06	0.7134;0.2866	0.3692;0.6308	t|1e1.1o1|1e2.1o1	2	3	0;0	chr19	-	5286234-5340664;5286234-5293141	5286050-5286388;5293141-5293252;5340664-5340812		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A5340812-5286050
PPARD	ENSG00000112033.14	ENSG00000112033.14:s:35347067-35347150	0.0472;0.0683;0.0346;0.0411;-0.0001;-0.2374;-0.0000	6.914e-09;2.416e-04;4.632e-05;2.391e-04;5.374e-21;7.373e-01;5.351e-21	1.002e-03;6.723e-05;1.657e-04;1.613e-04;1.923e-01;7.007e-07;2.717e-01	0.0121;0.0457;0.0974;0.1123;0.0178;0.7026;0.0121	0.0770;0.1285;0.1565;0.1746;0.0087;0.4516;0.0006	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1|1e7.1o1	7	8	1;1;1;1;0;0;0	chr6	+	35347150-35348363;35347150-35352929;35347150-35356229;35347150-35383577;35347150-35397498;35347150-35410987;35347150-35420127	35347067-35347150;35348363-na;35352929-35353050;35356229-na;35383577-na;35397498-35397593;35410987-35411217;35420127-35420281		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A35420281-35347067
ASCC3	ENSG00000112249.14	ENSG00000112249.14:s:100864064-100864214	0.4134;-0.4134	9.964e-01;9.964e-01	6.418e-08;6.418e-08	0.3142;0.6858	0.7239;0.2761	s|1e1.1o1|1e2.1o1	2	3	0;0	chr6	-	100859202-100864064;100848707-100864064	100848004-100848707;100856303-100859202;100864064-100864214		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A100864214-100848004
RABEP1	ENSG00000029725.17	ENSG00000029725.17:s:5335184-5335344	0.2949;-0.2949	9.466e-01;9.466e-01	9.736e-09;9.724e-09	0.0962;0.9038	0.3952;0.6048	s|1e1.1o1|1e2.1o1	2	3	0;0	chr17	+	5335344-5336488;5335344-5338019	5335184-5335344;5336488-5336689;5338019-5338138		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A5338138-5335184
MRPS10	ENSG00000048544.6	ENSG00000048544.6:s:42214280-42214344	0.2071;-0.2071	5.645e-01;5.645e-01	2.086e-07;2.086e-07	0.6482;0.3518	0.8589;0.1411	s|1e1.1o1|1e2.1o1	2	3	0;1	chr6	-	42214192-42214280;42211917-42214280	42211781-42211917;42214120-42214192;42214280-42214344		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A42214344-42211781
PGS1	ENSG00000087157.19	ENSG00000087157.19:s:78392476-78392665	-0.2123;0.2123	5.824e-01;5.824e-01	2.445e-06;2.445e-06	0.8424;0.1576	0.6169;0.3831	s|1e1.1o1|1e2.1o1	2	3	0;0	chr17	+	78392665-78396308;78392665-78398252	78392476-78392665;78396308-78396385;78398252-78398351		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A78398351-78392476
CREM	ENSG00000095794.20	ENSG00000095794.20:t:35178872-35178986	0.2857;-0.2949;0.0001	8.628e-01;8.871e-01;5.357e-21	1.632e-06;1.263e-06;5.860e-02	0.4045;0.5928;0.0028	0.6984;0.2911;0.0105	t|1e1.1o1|1e2.1o2|1e3.1o1	3	4	0;0;0	chr10	+	35127193-35178889;35148491-35178889;35175999-35178889	35126791-35127193;35148368-35148663;35175853-35175999;35178872-35178986		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A35178986-35126791
POLDIP3	ENSG00000100227.19	ENSG00000100227.19:t:42599698-42599793	0.2389;-0.2389	7.440e-01;7.440e-01	1.530e-07;1.530e-07	0.2815;0.7185	0.5262;0.4738	t|1e1.1o2|1e2.1o1	2	3	0;0	chr22	-	42599793-42602770;42599793-42601970	42599698-42599793;42601970-42602107;42602768-42603160		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr22%3A42603160-42599698
MIOX	ENSG00000100253.13	ENSG00000100253.13:s:50487886-50488048	0.2990;-0.2990	9.379e-01;9.379e-01	2.038e-07;2.038e-07	0.0898;0.9102	0.4004;0.5996	s|1e1.1o2|1e1.2o2	2	2	0;0	chr22	+	50488048-50488243;50488048-50488275	50487886-50488048;50488243-50488342		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr22%3A50488342-50487886
RAPGEF1	ENSG00000107263.19	ENSG00000107263.19:s:131621796-131621998	0.3851;-0.0009;0.0001;-0.4051	9.996e-01;9.388e-10;5.374e-21;9.994e-01	5.185e-13;1.023e-02;2.529e-02;3.596e-10	0.0025;0.0228;0.0025;0.9721	0.4000;0.0120;0.0120;0.5763	s|1e1.1o1|1e2.2o2|1e3.1o1|1e4.1o1	4	5	1;0;0;0	chr9	-	131621454-131621796;131619206-131621796;131604053-131621796;131602149-131621796	na-131621454;131602061-131602149;131603961-131604053;131619051-131619209;131621796-131621998		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A131621998-131602061
CCNJ	ENSG00000107443.16	ENSG00000107443.16:t:96056701-96057000	0.2318;-0.2318	6.481e-01;6.481e-01	7.149e-06;7.150e-06	0.0878;0.9122	0.3435;0.6565	t|1e1.1o1|1e2.1o1	2	3	1;0	chr10	+	96044462-96056701;96050466-96056701	96044353-96044462;96050256-96050466;96056701-96057000		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A96057000-96044353
OSBPL9	ENSG00000117859.19	ENSG00000117859.19:t:51745090-51745631	0.4299;0.0000;-0.2075;-0.2044	1.000e+00;5.345e-21;5.626e-01;5.350e-01	4.651e-16;5.292e-01;4.829e-07;1.082e-06	0.1699;0.0007;0.4057;0.4209	0.5948;0.0045;0.1913;0.2094	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;0;0	chr1	+	51714079-51745536;51729378-51745536;51730001-51745536;51730124-51745536	51714003-51714079;51729303-51729378;51729808-51730001;51730034-51730124;51745090-51745631		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A51745631-51714003
NR4A1	ENSG00000123358.20	ENSG00000123358.20:t:52053418-52055306	0.2148;0.0091;-0.2649;0.0141	5.976e-01;5.881e-07;8.328e-01;1.143e-05	1.559e-06;1.112e-03;6.143e-07;6.179e-04	0.1281;0.0529;0.7465;0.0693	0.3542;0.0709;0.4723;0.1023	t|1e1.1o1|1e2.1o1|1e3.1o2|1e4.1o1	4	5	0;0;0;0	chr12	+	52041929-52054327;52043911-52054327;52051568-52054327;52052645-52054327	52041805-52041929;52043425-52043911;52051402-52051572;52052474-52052645;52053418-52055306		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A52055306-52041805
SH3BP4	ENSG00000130147.16	ENSG00000130147.16:s:234952017-234952170	0.2329;-0.2055;-0.0006	7.133e-01;5.383e-01;5.462e-21	5.608e-07;2.096e-06;2.746e-01	0.3050;0.6688;0.0273	0.5457;0.4531;0.0012	s|1e1.1o1|1e2.1o1|1e3.1o2	3	4	0;0;0	chr2	+	234952170-234952715;234952170-234995303;234952170-235034871	234952017-234952170;234952715-234953190;234995303-234995376;235034871-235035120		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A235035120-234952017
SH3BP4	ENSG00000130147.16	ENSG00000130147.16:s:234995303-234995376	0.4338;-0.4338	9.999e-01;9.999e-01	4.544e-11;4.975e-11	0.3138;0.6862	0.7378;0.2622	s|1e1.1o1|1e2.1o2	2	3	0;0	chr2	+	234995376-234995692;234995376-235034871	234995303-234995376;234995692-234995993;235034871-235035120		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A235035120-234995303
SBF2	ENSG00000133812.18	ENSG00000133812.18:t:10040578-10042981	-0.5733;0.5733	9.999e-01;9.999e-01	1.242e-07;1.236e-07	0.8443;0.1557	0.2822;0.7178	t|1e1.1o2|1e2.1o1	2	3	0;0	chr11	-	10042981-10193902;10042981-10044519	10040578-10042981;10044519-10044615;10193696-10193987		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A10193987-10040578
BICDL1	ENSG00000135127.12	ENSG00000135127.12:s:119989236-119990297	0.3774;-0.3774	9.957e-01;9.957e-01	2.248e-08;2.260e-08	0.0475;0.9525	0.4202;0.5798	s|1e1.1o1|1e2.1o1	2	3	0;0	chr12	+	119990297-119992420;119990297-119998521	119989236-119990297;119992420-119993409;119998521-119998736		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A119998736-119989236
YAP1	ENSG00000137693.14	ENSG00000137693.14:t:102205893-102206086	0.1787;-0.2099;0.0150	4.015e-01;5.597e-01;7.688e-04	1.294e-05;9.306e-06;2.369e-04	0.1998;0.6131;0.1877	0.4014;0.3729;0.2223	t|1e1.1o1|1e2.1o3|1e2.2o3	3	3	0;0;1	chr11	+	102162571-102205893;102186131-102205893;102186137-102205893	102162456-102162571;102186018-102186686;102205893-102206086		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A102206086-102162456
