cluster	status	loglr	df	p	p.adjust	genes
chr10:clu_10735_-	Success	0.216862232924797	1	0.510167045792814	0.691854736181471	LARP4B
chr10:clu_10736_-	Success	1.13134041211379	2	0.322600548800245	0.550209758763176	IDI1
chr10:clu_10737_-	Success	0.472087930726104	1	0.33120622576601	0.556576871278959	PITRM1
chr10:clu_10738_-	Success	5.38429601173357	1	0.00103237013065333	0.0220458775697886	AKR1C2
chr10:clu_10739_-	Success	8.37756913468183	4	0.00215654352408965	0.034846149110082	AKR1C2
chr10:clu_10740_-	Success	0.352196760993138	2	0.7031417574939	0.822311721025456	GDI2
chr10:clu_10741_-	Success	4.54028039614877	2	0.0106704141909741	0.0873988434364532	GDI2
chr10:clu_10742_-	Success	4.61395946128528	1	0.00238352403853819	0.0365637113190312	GDI2
chr10:clu_10743_-	Success	3.64521271353857	2	0.0261158540673122	0.144930283447391	ANKRD16
chr10:clu_10744_-	Not enough valid samples	NA	NA	NA	NA	USP6NL
chr10:clu_10745_-	Success	1.66726422714373	2	0.188762771957219	0.421766948721539	NUDT5
chr10:clu_10746_-	Success	1.65899431889329	2	0.190330295466457	0.422829208906453	NUDT5
chr10:clu_10747_-	Success	2.12613772603299	3	0.23547995739604	0.47433579616759	SEPHS1
chr10:clu_10748_-	Success	0.487324130197749	1	0.323523645736788	0.550808004864082	SEPHS1
chr10:clu_10749_-	Success	0.499356522144495	1	0.317622113980381	0.547116264012924	SEPHS1
chr10:clu_10750_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	BEND7
chr10:clu_10751_-	Not enough valid samples	NA	NA	NA	NA	BEND7
chr10:clu_10752_-	Success	0.489396966937136	1	0.322496745947335	0.550204019223245	BEND7
chr10:clu_10753_-	Not enough valid samples	NA	NA	NA	NA	BEND7
chr10:clu_10754_-	Success	11.201648921918	4	0.000166572847488141	0.00717743891732235	FAM107B
chr10:clu_10755_-	Success	0.273345190374414	1	0.459673164913817	0.654313806172289	NMT2
chr10:clu_10756_-	Success	0.179707463145519	2	0.835514594475344	0.907394868762009	NMT2
chr10:clu_10757_-	Success	2.93889483879343	2	0.0529241861874116	0.213081389155712	FAM171A1
chr10:clu_10758_-	Success	0.567840836234609	2	0.566747819920911	0.731096068666729	RSU1
chr10:clu_10759_-	Success	2.29457100432285	3	0.20447551629018	0.44092307171559	HACD1
chr10:clu_10760_-	Success	2.42326190265931	3	0.183386617338658	0.415748131369606	HACD1
chr10:clu_10761_-	Success	0.34431260833378	2	0.70870734559461	0.826008301232451	ABI1
chr10:clu_10762_-	Success	0.204917888198906	1	0.522052870530987	0.699848254949934	ABI1
chr10:clu_10763_-	Success	0.00403236915326488	2	0.995975749930515	0.999147911359772	YME1L1
chr10:clu_10764_-	Success	3.17925709890375	1	0.0116819328705774	0.0921532458748966	YME1L1
chr10:clu_10765_-	Not enough valid samples	NA	NA	NA	NA	SVIL
chr10:clu_10766_-	Success	1.65252303229761	4	0.508133150945287	0.690061759127967	ARHGAP12
chr10:clu_10767_-	Success	0.90169599378811	2	0.405880704520274	0.615647024084396	ARHGAP12
chr10:clu_10768_-	Success	4.43534814540433	2	0.0118509393392888	0.0928818568265198	EPC1
chr10:clu_10769_-	Success	2.31445932183516	1	0.0314373716059241	0.16032894146209	ITGB1
chr10:clu_10770_-	Success	12.5051216414304	3	1.53645407356998e-05	0.0016927184367342	PARD3
chr10:clu_10771_-	Success	5.30808722490713	2	0.00495138855831791	0.0568091267134819	PARD3
chr10:clu_10772_-	Success	3.1593881416527	2	0.0424517075674278	0.18940142883857	PARD3
chr10:clu_10773_-	Success	5.86420198185783	4	0.0194894459387278	0.122694921023354	PARD3
chr10:clu_10774_-	Success	1.88826215400445	2	0.151334576633247	0.377557570885056	PARD3
chr10:clu_10775_-	Success	0.173054923122436	1	0.556323555829188	0.72477538954314	CUL2
chr10:clu_10776_-	Not enough valid samples	NA	NA	NA	NA	ZNF33B
chr10:clu_10777_-	Not enough valid samples	NA	NA	NA	NA	ZNF33B
chr10:clu_10778_-	Success	1.96541239873886	4	0.415448638099266	0.622977257683566	HNRNPF
chr10:clu_10779_-	Not enough valid samples	NA	NA	NA	NA	ZNF32
chr10:clu_10780_-	Not enough valid samples	NA	NA	NA	NA	MARCHF8
chr10:clu_10781_-	Success	3.09580698564605	2	0.0452384909132388	0.196414828737279	NCOA4
chr10:clu_10782_-	Success	2.26543490424808	1	0.0332886941420911	0.165759573552939	NCOA4
chr10:clu_10783_-	Success	2.80805515787824	4	0.229710247827798	0.46964168129281	NCOA4
chr10:clu_10784_-	Not enough valid samples	NA	NA	NA	NA	SGMS1
chr10:clu_10785_-	Success	2.07794929823285	1	0.0414897536633553	0.187398502688399	A1CF
chr10:clu_10786_-	Success	0.265491257433951	2	0.76682914691079	0.863161335109731	A1CF
chr10:clu_10787_-	Success	3.69532648990617	2	0.0248393425438464	0.140828904071691	A1CF
chr10:clu_10788_-	Success	6.54692210583994	5	0.0225150391296524	0.132812962608182	A1CF
chr10:clu_10789_-	Not enough valid samples	NA	NA	NA	NA	LNCAROD
chr10:clu_10790_-	Success	4.54818652997346e-05	1	0.992390298716577	0.997121354135891	ZWINT
chr10:clu_10791_-	Success	1.55737971896849	2	0.210687408776413	0.447353137995471	ZWINT
chr10:clu_10792_-	Success	5.19299271476656	1	0.00126975401529786	0.025122990159822	RHOBTB1
chr10:clu_10793_-	Success	4.55929961985407	6	0.167017178830306	0.397065117400642	RHOBTB1
chr10:clu_10794_-	Success	0.298661586631866	1	0.439601183202168	0.639258057768864	RHOBTB1
chr10:clu_10795_-	Not enough valid samples	NA	NA	NA	NA	HERC4
chr10:clu_10796_-	Success	0.378336353683721	1	0.384371800343998	0.598491799655166	AIFM2
chr10:clu_10797_-	Success	2.04852067762477	3	0.251174281923806	0.488296503559515	AIFM2
chr10:clu_10798_-	Success	9.28743241764141	4	0.000952415259784764	0.0207187554064019	AIFM2
