# {
#     "changing_threshold": 0.2,
#     "command": "/home/wanglab/anaconda3/envs/voila/bin/voila tsv majiq_splicing/build_simplified/splicegraph.sql majiq_splicing/deltapsi_simplified/ctrl_trt.deltapsi.voila --changing-between-group-dpsi 0.1 --probability-threshold 0.95 -f majiq_splicing/voilaOutput_simplified/3vs3_filtedtbl.tsv",
#     "group_sizes": {
#         "ctrl": 3,
#         "trt": 3
#     },
#     "non_changing_threshold": 0.05,
#     "voila_version": "2.4.dev3+g85d07819"
# }
gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	ctrl_mean_psi	trt_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
RPAP3	ENSG00000005175.10	ENSG00000005175.10:s:47701191-47701604	0.3817;-0.3817	9.975e-01;9.975e-01	1.309e-09;1.326e-09	0.3349;0.6651	0.7158;0.2842	s|1e1.1o1|1e2.1o2	2	3	0;0	chr12	-	47700164-47701464;47697719-47701464	47697597-47697719;47700015-47700164;47701191-47701604		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A47701604-47697597
ABCC1	ENSG00000103222.20	ENSG00000103222.20:s:16056092-16057159	-0.0015;0.4241;-0.4141	7.202e-09;9.983e-01;9.974e-01	6.497e-03;2.185e-08;2.976e-08	0.0256;0.3009;0.6735	0.0169;0.7229;0.2601	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;1	chr16	+	16056295-16057431;16056295-16068156;16056295-16071642	16056092-16057159;16057431-16057571;16068156-16068302;16071642-16071729		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A16071729-16056092
ANKRD17	ENSG00000132466.20	ENSG00000132466.20:s:73102376-73102779	0.3094;-0.3094	9.774e-01;9.774e-01	1.070e-09;1.071e-09	0.1126;0.8874	0.4256;0.5744	s|1e1.1o1|1e2.1o1	2	3	0;0	chr4	-	73101173-73102376;73098520-73102376	73098073-73098520;73100861-73101173;73102376-73102779		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A73102779-73098073
SBF2	ENSG00000133812.18	ENSG00000133812.18:t:10040578-10042981	-0.5733;0.5733	9.999e-01;9.999e-01	1.242e-07;1.236e-07	0.8443;0.1557	0.2822;0.7178	t|1e1.1o2|1e2.1o1	2	3	0;0	chr11	-	10042981-10193902;10042981-10044519	10040578-10042981;10044519-10044615;10193696-10193987		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A10193987-10040578
PNRC1	ENSG00000146278.11	ENSG00000146278.11:t:89083753-89085160	0.3976;-0.3976	9.999e-01;9.999e-01	2.424e-14;3.453e-14	0.5814;0.4186	0.9820;0.0180	t|1e1.2o2|1e2.1o1	2	3	0;0	chr6	+	89081434-89083753;89082735-89083753	89080751-89081434;89081836-89082735;89083753-89085160		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A89085160-89080751
ARL5A	ENSG00000162980.17	ENSG00000162980.17:s:151828131-151828492	0.0000;0.3004;0.0987;-0.4311	5.346e-21;9.463e-01;2.105e-02;9.998e-01	2.985e-01;5.520e-08;3.033e-05;1.926e-10	0.0064;0.1744;0.0636;0.7566	0.0075;0.4809;0.1793;0.3304	s|1e1.1o1|2e2.1o2|2e2.2o2|2e3.1o1	4	4	0;0;1;0	chr2	-	151815199-151828389;151827840-151828131;151827799-151828131;151815199-151828131	151815139-151815199;151827480-151827840;151828131-151828492		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A151828492-151815139
MICALL2	ENSG00000164877.19	ENSG00000164877.19:s:1450240-1450536	0.4970;-0.4970	1.000e+00;1.000e+00	8.138e-10;1.270e-09	0.1738;0.8262	0.6626;0.3374	s|1e1.1o1|1e2.1o1	2	3	1;0	chr7	-	1449829-1450240;1448761-1450240	na-1449829;1448620-1448761;1450240-1450536		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A1450536-1448620
PRKCZ	ENSG00000067606.17	ENSG00000067606.17:t:2135262-2135347	0.1394;-0.0000;0.0000;0.2625;-0.4313	1.414e-01;5.345e-21;5.345e-21;8.587e-01;1.000e+00	1.267e-05;4.833e-01;4.853e-01;1.161e-07;1.521e-14	0.1615;0.0051;0.0009;0.2805;0.5518	0.3166;0.0008;0.0051;0.5485;0.1278	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1	5	6	0;0;0;0;0	chr1	+	2059591-2135262;2073929-2135262;2098555-2135262;2104895-2135262;2135086-2135262	2059541-2059591;2073462-2073929;2098347-2098555;2104716-2104895;2134813-2135086;2135262-2135347		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A2135347-2059541
NUP210	ENSG00000132182.12	ENSG00000132182.12:s:13420060-13420322	0.3551;-0.3551	9.938e-01;9.938e-01	1.053e-09;1.051e-09	0.2990;0.7010	0.6605;0.3395	s|1e1.1o1|1e2.1o1	2	3	1;0	chr3	-	13414112-13420060;13399861-13420060	na-13414112;13399725-13399861;13420060-13420322		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A13420322-13399725
CDK5RAP2	ENSG00000136861.19	ENSG00000136861.19:t:120402806-120403071	-0.4529;0.1035;0.3504	1.000e+00;7.611e-04;9.985e-01	0.000e+00;9.554e-06;3.795e-15	0.9280;0.0295;0.0423	0.4832;0.1333;0.3826	t|1e1.1o1|1e2.1o2|1e2.2o2	3	3	0;0;0	chr9	-	120403071-120404036;120403071-120403316;120403071-120403243	120402806-120403071;120403243-120403495;120404036-120404113		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A120404113-120402806
